Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH
NMC,45,I4-600,2.1,1.5797,5,45,33.85071428571428,3.873,3.8891,3.8957,3.8795,3.8746,3.8581,3.8523,3.869,3.8724,3.9059,3.9171,3.8839,3.8758,3.8436,3.8312,3.8643,3.8712,3.9378,3.9605,3.8944,3.8786,0.7522380952380953,3.8822857142857146
NMC,64,J4-200,2.1,1.8001,5,50,42.85952380952381,3.8755,3.8898,3.8972,3.8817,3.8771,3.8625,3.8554,3.8709,3.8743,3.9056,3.918,3.887,3.8783,3.847,3.8349,3.8662,3.8736,3.9338,3.9595,3.8972,3.8811,0.8571904761904762,3.88412380952381
NMC,17,E3-600,2.1,1.5726,5,45,33.69857142857143,3.8758,3.8904,3.8975,3.8817,3.8774,3.8616,3.856,3.8718,3.8752,3.9068,3.9183,3.8867,3.8786,3.8476,3.8355,3.8665,3.8743,3.9375,3.9598,3.8969,3.8814,0.7488571428571428,3.884633333333334
NMC,14,E3-300,2.1,1.8272,5,50,43.5047619047619,3.8764,3.8916,3.8966,3.8823,3.878,3.864,3.8572,3.8721,3.8755,3.9062,3.9167,3.887,3.8789,3.8504,3.838,3.8681,3.8746,3.935,3.9564,3.8975,3.882,0.870095238095238,3.884976190476191
NMC,62,J3-600,2.1,1.301,5,40,24.780952380952378,3.8746,3.8935,3.8997,3.8814,3.8767,3.8591,3.8519,3.8702,3.874,3.9105,3.9233,3.8876,3.878,3.8417,3.8287,3.865,3.873,3.9446,3.9716,3.9006,3.8808,0.6195238095238095,3.885071428571428
NMC,50,J1-500,2.1,1.6197,5,45,34.707857142857144,3.8774,3.8932,3.8988,3.8833,3.8789,3.8631,3.8569,3.8727,3.8761,3.9084,3.9198,3.8891,3.8798,3.8479,3.8361,3.8681,3.8752,3.9388,3.9614,3.8984,3.8826,0.7712857142857142,3.8859999999999997
NMC,37,I3-300,2.1,1.8076,5,50,43.03809523809524,3.8795,3.8944,3.9012,3.8845,3.8808,3.8643,3.8588,3.8755,3.8783,3.9102,3.922,3.8891,3.882,3.8495,3.838,3.8705,3.8777,3.9431,3.9648,3.8991,3.8848,0.8607619047619047,3.888004761904762
NMC,23,E4-600,2.1,1.5474,5,45,33.158571428571435,3.8792,3.895,3.9012,3.8854,3.8808,3.865,3.8591,3.8752,3.8789,3.9109,3.9226,3.8913,3.8817,3.8498,3.838,3.8709,3.8777,3.9422,3.9648,3.9009,3.8848,0.7368571428571429,3.888352380952381
NMC,6,D3-600,2.1,1.5016,5,45,32.177142857142854,3.8802,3.8969,3.9031,3.8864,3.8817,3.8662,3.8585,3.8749,3.8792,3.9133,3.9254,3.8916,3.8829,3.8492,3.8368,3.8709,3.878,3.9453,3.9698,3.9034,3.886,0.715047619047619,3.8895095238095245
NMC,3,D3-300,2.1,1.8004,5,50,42.86666666666666,3.8811,3.8953,3.9025,3.8873,3.8823,3.8665,3.8609,3.8767,3.8802,3.9099,3.9233,3.8922,3.8836,3.8516,3.8408,3.8724,3.8792,3.9431,3.9648,3.9019,3.886,0.8573333333333333,3.8895999999999993
NMC,28,H3-600,2.1,1.5406,5,45,33.01285714285714,3.8808,3.8966,3.9037,3.8867,3.8823,3.8653,3.8591,3.8761,3.8795,3.9143,3.9254,3.8922,3.8836,3.8492,3.8377,3.8715,3.8786,3.9459,3.9694,3.9028,3.8867,0.7336190476190476,3.8898761904761905
NMC,15,E3-400,2.1,1.7676,5,50,42.08571428571429,3.8823,3.8972,3.9025,3.8879,3.8839,3.8699,3.8634,3.878,3.8817,3.9099,3.9226,3.8932,3.8848,3.855,3.8442,3.874,3.8808,3.9412,3.962,3.9025,3.8873,0.8417142857142857,3.8906809523809525
NMC,34,H4-600,2.1,1.286,5,40,24.495238095238093,3.8811,3.8981,3.9059,3.8882,3.8826,3.864,3.8575,3.8755,3.8795,3.9164,3.9298,3.8938,3.8839,3.8476,3.834,3.8705,3.8786,3.9496,3.9778,3.9056,3.887,0.6123809523809524,3.890809523809525
NMC,9,D4-300,2.1,1.7955,5,50,42.75,3.8829,3.8988,3.904,3.8882,3.8845,3.869,3.8631,3.8786,3.882,3.914,3.9245,3.8932,3.8857,3.8544,3.8436,3.8749,3.8814,3.944,3.9651,3.9031,3.8882,0.855,3.8915809523809526
NMC,4,D3-400,2.1,1.7452,5,50,41.55238095238095,3.8836,3.8991,3.9053,3.8895,3.8854,3.8693,3.864,3.8792,3.8829,3.913,3.926,3.895,3.8867,3.856,3.8436,3.8749,3.8823,3.9434,3.9676,3.9065,3.8891,0.831047619047619,3.8924952380952376
NMC,10,D4-400,2.1,1.7384,5,50,41.39047619047619,3.8854,3.8991,3.9056,3.8907,3.8867,3.8718,3.8659,3.8811,3.8842,3.914,3.9257,3.8957,3.8879,3.8581,3.8467,3.8767,3.8833,3.9422,3.9654,3.9062,3.8907,0.8278095238095238,3.893480952380952
NMC,48,J1-300,2.1,1.7948,5,50,42.73333333333333,3.8857,3.9012,3.9071,3.8916,3.887,3.8724,3.8662,3.8814,3.8851,3.9161,3.9273,3.8963,3.8882,3.8581,3.8461,3.8767,3.8842,3.9465,3.9682,3.9068,3.891,0.8546666666666666,3.894438095238095
NMC,38,I3-400,2.1,1.745,5,50,41.547619047619044,3.886,3.9025,3.9078,3.8913,3.8873,3.8715,3.865,3.8814,3.8845,3.9183,3.9291,3.8957,3.8885,3.8554,3.8442,3.8777,3.8836,3.9502,3.9713,3.9062,3.8916,0.830952380952381,3.894719047619047
NMC,20,E4-300,2.1,1.7794,5,50,42.36666666666667,3.8864,3.9022,3.9071,3.8916,3.8876,3.8721,3.8662,3.882,3.8854,3.9164,3.9279,3.8972,3.8888,3.8578,3.8461,3.8774,3.8845,3.9465,3.9691,3.9081,3.8913,0.8473333333333334,3.8948428571428573
NMC,51,J1-600,2.1,1.469,5,45,31.478571428571428,3.8876,3.9034,3.9099,3.8941,3.8891,3.8727,3.8665,3.8826,3.8867,3.9195,3.9316,3.8984,3.8901,3.8572,3.8454,3.8783,3.8857,3.9518,3.9747,3.9099,3.8932,0.6995238095238095,3.8965904761904757
